Consortia_Name,PracticeName,HRG,Specialty_Name,SLA_Total_Cost
H85030,Drs Elliott Grice and Partners,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85031,Benhill and Belmont,"DZ11B - Lobar, Atypical or Viral Pneumonia with CC",410 - Rheumatology,"2,745.60"
H85032,Carshalton Fields,DZ16A - Pleural Effusion with Major CC,300 - General Medicine,"3,856.72"
H85033,Tamworth House Medical Centre,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85034,Pepys Road Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85035,Rowans Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85016,Cannon Hill Lane Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85018,Mulgrave Road,NZ07D - Ante-natal or Post-natal Observation age under 16 or over 40 years with length of stay 1 day or more,560 - Midwife Episode,"1,012.17"
H85019,GP Centre - Longley,PA01A - Nervous System Disorders with CC,361 - Nephrology,"3,474.77"
H85020,Church Lane  ,PA12Z - Asthma or Wheezing,420 - Paediatrics,768.96
H85021,Chesser Practice,PA15B - Acute Bronchiolitis without CC,420 - Paediatrics,"1,124.23"
H85021,Chesser Practice,PA15B - Acute Bronchiolitis without CC,420 - Paediatrics,"1,124.23"
H85022,Park Road Medical Centre,PA17A - Intermediate Infections with CC,171 - Paediatric Surgery,"1,595.59"
H85022,Park Road Medical Centre,PA19B - Viral Infections with length of stay 2 days or more,420 - Paediatrics,"1,487.85"
H85023,Bishopsford Road Practice,PA26B - Other Gastrointestinal or Metabolic Disorders without CC,420 - Paediatrics,721.27
H85024,Mitcham Medical Centre,PA35A - Skin Disorders with CC,420 - Paediatrics,"1,354.32"
H85025,Wrythe Green Surgery,PA50Z - Ingestion Poisoning or Allergies,420 - Paediatrics,597.28
H85026,Francis Grove Surgery,PA70Z - Other Renal Diseases,420 - Paediatrics,706.97
H85027,Wimbledon Village Surgery,PB02Z - Minor Neonatal Diagnoses,420 - Paediatrics,"1,274.45"
H85028,Princes Road Surgery,QZ17C - Non-Surgical Peripheral Vascular Disease without CC,300 - General Medicine,778.44
H85029,Wide Way Medical Centre,SA01F - Aplastic Anaemia without CC,300 - General Medicine,"2,726.53"
H85030,Drs Elliott Grice and Partners,SA04F - Iron Deficiency Anaemia without CC,300 - General Medicine,599.67
H85031,Benhill and Belmont,SA04F - Iron Deficiency Anaemia without CC,823 - Not A Treatment Function,599.67
H85032,Carshalton Fields,SA30Z - Plasma Cell Disorders,361 - Nephrology,"4,574.41"
H85033,Tamworth House Medical Centre,"WA11X - Poisoning, toxic, environmental and unspecified effects with Intermediate CC",180 - Accident & Emergency,509.9
H85034,Pepys Road Surgery,"WA11X - Poisoning, toxic, environmental and unspecified effects with Intermediate CC",340 - Respiratory Medicine,773.16
H85035,Rowans Surgery,WD22Z - All Patients older than 19 years and younger than 69 years with a Mental Health Primary Diagnosis [treated by a Non-Specialist Mental Health Service P,300 - General Medicine,0
H85016,Cannon Hill Lane Practice,AA13Z - Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System -category 3,150 - Neurosurgery,"14,922.91"
H85018,Mulgrave Road,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85019,GP Centre - Longley,DZ12A - Bronchiectasis with CC,300 - General Medicine,"3,400.11"
H85020,Church Lane  ,DZ17A - Respiratory Neoplasms with Major CC,300 - General Medicine,"4,028.39"
H85021,Chesser Practice,DZ19B - Other Respiratory Diagnoses with CC,361 - Nephrology,667.92
H85021,Chesser Practice,DZ22A - Unspecified Acute Lower Respiratory Infection with Major CC,410 - Rheumatology,861.65
H85022,Park Road Medical Centre,EA17Z - Single Cardiac Valve Procedures,170 - Cardiothoracic Surgery,"15,639.44"
H85022,Park Road Medical Centre,EA31Z - Percutaneous Coronary Intervention (0-2 Stents),320 - Cardiology,"4,981.97"
H85023,Bishopsford Road Practice,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,669.29
H85024,Mitcham Medical Centre,EB01Z - Non interventional acquired cardiac conditions 19 years and over,410 - Rheumatology,669.29
H85025,Wrythe Green Surgery,EB02Z - Endocarditis,320 - Cardiology,"7,737.71"
H85026,Francis Grove Surgery,EB06Z - Cardiac Valve Disorders,320 - Cardiology,"4,335.98"
H85027,Wimbledon Village Surgery,EB08H - Syncope or Collapse with CC,410 - Rheumatology,"17,460.74"
H85028,Princes Road Surgery,EB08I - Syncope or Collapse without CC,300 - General Medicine,"1,174.30"
H85029,Wide Way Medical Centre,EB10Z - Actual or Suspected Myocardial Infarction,320 - Cardiology,"4,579.18"
H85030,Drs Elliott Grice and Partners,EB11Z - Deep Vein Thrombosis,300 - General Medicine,"3,614.70"
H85031,Benhill and Belmont,FZ03A - Diagnostic and intermediate procedures on the upper GI tract 19 years and over,100 - General Surgery,"1,232.72"
H85032,Carshalton Fields,FZ18C - Inguinal Umbilical or Femoral Hernia Repairs 19 years and over without CC,100 - General Surgery,"2,289.00"
H85033,Tamworth House Medical Centre,FZ20B - Appendicectomy Procedures 19 years and over without Major CC,100 - General Surgery,"2,752.22"
H85034,Pepys Road Surgery,FZ20B - Appendicectomy Procedures 19 years and over without Major CC,100 - General Surgery,"2,724.14"
H85035,Rowans Surgery,FZ20B - Appendicectomy Procedures 19 years and over without Major CC,100 - General Surgery,"2,724.14"
H85016,Cannon Hill Lane Practice,FZ20B - Appendicectomy Procedures 19 years and over without Major CC,100 - General Surgery,"2,770.46"
H85018,Mulgrave Road,FZ20C - Appendicectomy Procedures 18 years and under,100 - General Surgery,"2,614.46"
H85019,GP Centre - Longley,FZ26A - Endoscopic or Intermediate Large Intestine Procedures 19 years and over,100 - General Surgery,"1,059.73"
H85020,Church Lane  ,FZ29Z - Major or Therapeutic Endoscopic Procedures for Gastrointestinal Bleed,100 - General Surgery,"2,778.98"
H85021,Chesser Practice,FZ31D - Disorders of the Oesophagus with length of stay 1 day or more with Major CC,300 - General Medicine,"4,226.30"
H85021,Chesser Practice,FZ37E - Inflammatory Bowel Disease with length of stay 1 day or more without Major CC,300 - General Medicine,"1,952.80"
H85022,Park Road Medical Centre,DZ20Z - Pulmonary Oedema,361 - Nephrology,711.73
H85022,Park Road Medical Centre,DZ21J - Chronic Obstructive Pulmonary Disease or Bronchitis without NIV without Intubation with CC,300 - General Medicine,"2,732.49"
H85023,Bishopsford Road Practice,DZ24A - Inhalation Lung Injury or Foreign Body with Major CC,180 - Accident & Emergency,"1,240.17"
H85024,Mitcham Medical Centre,DZ25B - Fibrosis or Pneumoconiosis without CC,300 - General Medicine,634.54
H85025,Wrythe Green Surgery,DZ26B - Pneumothorax without CC,300 - General Medicine,765.56
H85026,Francis Grove Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,669.29
H85027,Wimbledon Village Surgery,EB08H - Syncope or Collapse with CC,300 - General Medicine,689.98
H85028,Princes Road Surgery,FZ02Z - Very Major Oesophageal Procedures,300 - General Medicine,"8,227.27"
H85029,Wide Way Medical Centre,FZ05A - Major Stomach or Duodenum Procedures 2 years and over with CC,100 - General Surgery,"7,021.32"
H85030,Drs Elliott Grice and Partners,FZ12C - General Abdominal - Very Major or Major Procedures without CC,420 - Paediatrics,"7,088.49"
H85031,Benhill and Belmont,FZ18C - Inguinal Umbilical or Femoral Hernia Repairs 19 years and over without CC,100 - General Surgery,"2,289.00"
H85032,Carshalton Fields,FZ26A - Endoscopic or Intermediate Large Intestine Procedures 19 years and over,300 - General Medicine,"1,041.97"
H85033,Tamworth House Medical Centre,FZ31E - Disorders of the Oesophagus with length of stay 1 day or more without Major CC,300 - General Medicine,"2,416.56"
H85034,Pepys Road Surgery,FZ36D - Intestinal Infectious Disorders with length of stay 1 day or more with Major CC,300 - General Medicine,"5,336.22"
H85035,Rowans Surgery,FZ37D - Inflammatory Bowel Disease with length of stay 1 day or more with Major CC,300 - General Medicine,"2,866.01"
H85016,Cannon Hill Lane Practice,FZ37E - Inflammatory Bowel Disease with length of stay 1 day or more without Major CC,300 - General Medicine,"1,952.80"
H85018,Mulgrave Road,FZ37F - Inflammatory Bowel Disease with length of stay 0 days,180 - Accident & Emergency,560.33
H85019,GP Centre - Longley,FZ41F - Anal Disorders with length of stay 0 days,180 - Accident & Emergency,505.49
H85020,Church Lane  ,FZ43B - Non-Malignant Stomach or Duodenum Disorders with length of stay 1 day or more without Major CC,300 - General Medicine,858.37
H85021,Chesser Practice,FZ44A - Malignant Stomach or Duodenum Disorders with length of stay 1 day or more with Major CC,100 - General Surgery,"4,396.20"
H85021,Chesser Practice,FZ44A - Malignant Stomach or Duodenum Disorders with length of stay 1 day or more with Major CC,180 - Accident & Emergency,"4,302.60"
H85022,Park Road Medical Centre,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,434.20"
H85022,Park Road Medical Centre,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,434.20"
H85023,Bishopsford Road Practice,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,370 - Medical Oncology,"3,051.39"
H85024,Mitcham Medical Centre,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",300 - General Medicine,"4,425.39"
H85025,Wrythe Green Surgery,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",300 - General Medicine,"1,106.35"
H85026,Francis Grove Surgery,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",400 - Neurology,"6,213.83"
H85027,Wimbledon Village Surgery,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",300 - General Medicine,530.82
H85028,Princes Road Surgery,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",300 - General Medicine,402.53
H85029,Wide Way Medical Centre,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",410 - Rheumatology,530.82
H85030,Drs Elliott Grice and Partners,CZ12V - Minor Nose Procedures 19 years and over with CC,120 - Ear Nose & Throat,"1,508.29"
H85031,Benhill and Belmont,DZ09A - Pulmonary Embolus with Major CC,300 - General Medicine,873.28
H85032,Carshalton Fields,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85033,Tamworth House Medical Centre,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85034,Pepys Road Surgery,DZ12A - Bronchiectasis with CC,300 - General Medicine,"3,400.11"
H85035,Rowans Surgery,DZ16B - Pleural Effusion with CC,300 - General Medicine,"2,938.74"
H85016,Cannon Hill Lane Practice,DZ22C - Unspecified Acute Lower Respiratory Infection without CC,300 - General Medicine,"1,126.84"
H85018,Mulgrave Road,DZ24A - Inhalation Lung Injury or Foreign Body with Major CC,180 - Accident & Emergency,"1,240.17"
H85019,GP Centre - Longley,DZ37A - Non-Invasive Ventilation Support Assessment 19 years and over,192 - Critical Care Medicine,429.21
H85020,Church Lane  ,EA15Z - Coronary Artery Bypass Graft (First Time) with Cardiac Catheterisation,170 - Cardiothoracic Surgery,"14,464.58"
H85021,Chesser Practice,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,669.29
H85021,Chesser Practice,EB07I - Arrhythmia or Conduction Disorders without CC,180 - Accident & Emergency,664.7
H85022,Park Road Medical Centre,EB08H - Syncope or Collapse with CC,300 - General Medicine,"3,258.24"
H85022,Park Road Medical Centre,EB10Z - Actual or Suspected Myocardial Infarction,300 - General Medicine,"4,579.18"
H85023,Bishopsford Road Practice,FZ02Z - Very Major Oesophageal Procedures,300 - General Medicine,"8,227.27"
H85024,Mitcham Medical Centre,FZ18C - Inguinal Umbilical or Femoral Hernia Repairs 19 years and over without CC,100 - General Surgery,"2,289.00"
H85025,Wrythe Green Surgery,FZ43A - Non-Malignant Stomach or Duodenum Disorders with length of stay 1 day or more with Major CC,370 - Medical Oncology,"3,470.42"
H85026,Francis Grove Surgery,FZ45A - Non-Malignant Large Intestinal Disorders with length of stay 1 day or more with Major CC,300 - General Medicine,"3,311.89"
H85027,Wimbledon Village Surgery,FZ47A - Non-Malignant General Abdominal Disorders with length of stay 1 day or more with Major CC,180 - Accident & Emergency,681.93
H85028,Princes Road Surgery,FZ41F - Anal Disorders with length of stay 0 days,100 - General Surgery,505.49
H85029,Wide Way Medical Centre,FZ41F - Anal Disorders with length of stay 0 days,100 - General Surgery,505.49
H85030,Drs Elliott Grice and Partners,FZ43B - Non-Malignant Stomach or Duodenum Disorders with length of stay 1 day or more without Major CC,370 - Medical Oncology,"1,948.99"
H85031,Benhill and Belmont,FZ43C - Non-Malignant Stomach or Duodenum Disorders with length of stay 0 days,180 - Accident & Emergency,464.95
H85032,Carshalton Fields,FZ45B - Non-Malignant Large Intestinal Disorders with length of stay 1 day or more without Major CC,180 - Accident & Emergency,881.44
H85033,Tamworth House Medical Centre,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,434.20"
H85034,Pepys Road Surgery,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,180 - Accident & Emergency,"1,003.94"
H85035,Rowans Surgery,GB06B - Endoscopic Retrograde Cholangiopancreatography category 2 with length of stay 3 days or more with Intermediate CC,300 - General Medicine,"4,914.19"
H85016,Cannon Hill Lane Practice,GB06B - Endoscopic Retrograde Cholangiopancreatography category 2 with length of stay 3 days or more with Intermediate CC,300 - General Medicine,"4,914.19"
H85018,Mulgrave Road,GC10B - Liver Disorders Category 4 with Intermediate CC,300 - General Medicine,"2,737.26"
H85019,GP Centre - Longley,GC11B - Pancreatic and Biliary Disorders Category 4 with Intermediate CC,100 - General Surgery,"2,500.01"
H85020,Church Lane  ,HA13A - Intermediate Hip Procedures for Trauma with Major CC,430 - Geriatric Medicine,"7,195.52"
H85021,Chesser Practice,HA13B - Intermediate Hip Procedures for Trauma with Intermediate CC,110 - Trauma & Orthopaedics,"6,738.23"
H85021,Chesser Practice,HA13C - Intermediate Hip Procedures for Trauma without CC,110 - Trauma & Orthopaedics,"6,262.32"
H85022,Park Road Medical Centre,HA14C - Minor Hip Procedures for Trauma without CC,110 - Trauma & Orthopaedics,"1,715.55"
H85022,Park Road Medical Centre,HA23C - Intermediate Knee Procedures Category 2 for Trauma without CC,110 - Trauma & Orthopaedics,"3,914.70"
H85023,Bishopsford Road Practice,HA34Z - Minor Foot Procedures for Trauma Category 2,110 - Trauma & Orthopaedics,"2,305.69"
H85024,Mitcham Medical Centre,HA73B - Minor Elbow and Lower Arm Procedures for Trauma 18 years and under,110 - Trauma & Orthopaedics,"1,331.67"
H85025,Wrythe Green Surgery,HC24B - Thoracic or Lumbar Spinal Disorders with CC,110 - Trauma & Orthopaedics,"2,483.32"
H85026,Francis Grove Surgery,HD21C - Soft Tissue Disorders without CC,180 - Accident & Emergency,458.99
H85027,Wimbledon Village Surgery,HD26B - Musculoskeletal Signs and Symptoms with CC,110 - Trauma & Orthopaedics,717.28
H85028,Princes Road Surgery,JC15Z - Skin Therapies level 3,160 - Plastic Surgery,"1,126.37"
H85029,Wide Way Medical Centre,KB02B - Diabetes with Hyperglycaemic Disorders 70 years and over with Intermediate CC,180 - Accident & Emergency,653.32
H85030,Drs Elliott Grice and Partners,LA04D - Kidney or Urinary Tract Infections with length of stay 2 days or more with Major CC,300 - General Medicine,"4,682.99"
H85031,Benhill and Belmont,LA07B - Acute Renal Failure with Intermediate CC,180 - Accident & Emergency,"3,032.92"
H85032,Carshalton Fields,LB15B - Bladder Minor Procedure 19 years and over with Intermediate CC,101 - Urology,999.05
H85033,Tamworth House Medical Centre,MA05B - Lower Genital Tract Minor Procedures without CC,501 - Obstetrics,741.54
H85034,Pepys Road Surgery,MA09Z - Upper Genital Tract Laparoscopic / Endoscopic Intermediate Procedures,501 - Obstetrics,"2,675.26"
H85035,Rowans Surgery,MA15A - Vacuum Aspiration with Rigid Cannula for 9 weeks gestation or more,501 - Obstetrics,"1,095.62"
H85016,Cannon Hill Lane Practice,MB08Z - Threatened or Spontaneous Miscarriage,501 - Obstetrics,549.6
H85018,Mulgrave Road,NZ01E - Normal delivery between 16 and 40 years with CC,501 - Obstetrics,"2,272.30"
H85019,GP Centre - Longley,NZ01E - Normal delivery between 16 and 40 years with CC,560 - Midwife Episode,"2,272.30"
H85020,Church Lane  ,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85021,Chesser Practice,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85021,Chesser Practice,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85022,Park Road Medical Centre,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85022,Park Road Medical Centre,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85023,Bishopsford Road Practice,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85024,Mitcham Medical Centre,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85025,Wrythe Green Surgery,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85026,Francis Grove Surgery,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85027,Wimbledon Village Surgery,NZ02A - Assisted delivery with CC,501 - Obstetrics,"2,917.28"
H85028,Princes Road Surgery,NZ02A - Assisted delivery with CC,501 - Obstetrics,"2,917.28"
H85029,Wide Way Medical Centre,NZ03C - Caesarean Section with complications,501 - Obstetrics,"3,857.91"
H85030,Drs Elliott Grice and Partners,NZ03D - Caesarean Section between 16 and 40 years,501 - Obstetrics,"2,835.02"
H85031,Benhill and Belmont,NZ03D - Caesarean Section between 16 and 40 years,501 - Obstetrics,"2,835.02"
H85032,Carshalton Fields,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85033,Tamworth House Medical Centre,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85034,Pepys Road Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85035,Rowans Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85016,Cannon Hill Lane Practice,HA22B - Major Knee Procedures Category 1 for Trauma with CC,110 - Trauma & Orthopaedics,"6,174.33"
H85018,Mulgrave Road,HA23C - Intermediate Knee Procedures Category 2 for Trauma without CC,420 - Paediatrics,"3,985.60"
H85019,GP Centre - Longley,HA34Z - Minor Foot Procedures for Trauma Category 2,110 - Trauma & Orthopaedics,"2,305.69"
H85020,Church Lane  ,HA53Z - Intermediate Hand Procedures for Trauma Category 2,160 - Plastic Surgery,"2,868.67"
H85021,Chesser Practice,HA91Z - Hip Trauma Diagnosis without Procedure,180 - Accident & Emergency,487.01
H85021,Chesser Practice,HC02B - Extradural Spine Major 1 with CC,150 - Neurosurgery,"10,244.41"
H85022,Park Road Medical Centre,HC03B - Extradural Spine Intermediate 2 with CC,150 - Neurosurgery,"5,462.11"
H85022,Park Road Medical Centre,HC21A - Spinal Cord Injury without Procedure with Major CC,110 - Trauma & Orthopaedics,"7,376.48"
H85023,Bishopsford Road Practice,HC24B - Thoracic or Lumbar Spinal Disorders with CC,110 - Trauma & Orthopaedics,561.09
H85024,Mitcham Medical Centre,HC24B - Thoracic or Lumbar Spinal Disorders with CC,430 - Geriatric Medicine,561.09
H85025,Wrythe Green Surgery,HD21B - Soft Tissue Disorders with CC,100 - General Surgery,550.79
H85026,Francis Grove Surgery,HD21C - Soft Tissue Disorders without CC,180 - Accident & Emergency,458.99
H85027,Wimbledon Village Surgery,"HD31A - Sprains, Strains, or Minor Open Wounds with Major CC",180 - Accident & Emergency,811.58
H85028,Princes Road Surgery,"HD31B - Sprains, Strains, or Minor Open Wounds with CC",180 - Accident & Emergency,548.82
H85029,Wide Way Medical Centre,JA12B - Malignant Breast Disorders with Intermediate CC,370 - Medical Oncology,"2,779.75"
H85030,Drs Elliott Grice and Partners,JC06C - Minor Skin Procedures category 2 without CC,110 - Trauma & Orthopaedics,"1,304.25"
H85031,Benhill and Belmont,KC02E - Fluid Disorders 69 years and under with Intermediate CC,361 - Nephrology,"4,792.58"
H85032,Carshalton Fields,LA02A - Kidney Transplant from Cadaver Heart beating donor 19 years and over,361 - Nephrology,0
H85033,Tamworth House Medical Centre,LA04D - Kidney or Urinary Tract Infections with length of stay 2 days or more with Major CC,430 - Geriatric Medicine,"4,635.22"
H85034,Pepys Road Surgery,LA04E - Kidney or Urinary Tract Infections with length of stay 2 days or more with Intermediate CC,410 - Rheumatology,"2,690.76"
H85035,Rowans Surgery,LA04G - Kidney or Urinary Tract Infections with length of stay less 1 day or less,340 - Respiratory Medicine,623.2
H85016,Cannon Hill Lane Practice,LA07A - Acute Renal Failure with Major CC,300 - General Medicine,"4,836.69"
H85018,Mulgrave Road,LA07A - Acute Renal Failure with Major CC,430 - Geriatric Medicine,"4,836.69"
H85019,GP Centre - Longley,LA09F - General Renal Disorders with length of stay 2 days or more with Intermediate CC,300 - General Medicine,"2,182.89"
H85020,Church Lane  ,LA09F - General Renal Disorders with length of stay 2 days or more with Intermediate CC,300 - General Medicine,"2,182.89"
H85021,Chesser Practice,LA09G - General Renal Disorders with length of stay 2 days or more without CC,300 - General Medicine,"1,627.24"
H85021,Chesser Practice,FZ47C - Non - Malignant General Abdominal Disorders with length of stay 0 days,361 - Nephrology,546.02
H85022,Park Road Medical Centre,GC08A - Liver Disorders Category 6 with Major CC,300 - General Medicine,"3,936.59"
H85022,Park Road Medical Centre,GC13B - Liver Disorders Category 3 with Intermediate CC,300 - General Medicine,"2,597.77"
H85023,Bishopsford Road Practice,HA21B - Major Knee Procedures Category 2 for Trauma with CC,110 - Trauma & Orthopaedics,"7,018.39"
H85024,Mitcham Medical Centre,HA23C - Intermediate Knee Procedures Category 2 for Trauma without CC,110 - Trauma & Orthopaedics,"4,187.19"
H85025,Wrythe Green Surgery,HA26B - Minor Knee Procedures Category 1 for Trauma with CC,110 - Trauma & Orthopaedics,"1,493.81"
H85026,Francis Grove Surgery,HA61C - Major Shoulder and Upper Arm Procedures for Trauma without CC,110 - Trauma & Orthopaedics,"4,228.90"
H85027,Wimbledon Village Surgery,HA73B - Minor Elbow and Lower Arm Procedures for Trauma 18 years and under,420 - Paediatrics,"1,345.40"
H85028,Princes Road Surgery,HB32A - Intermediate Foot Procedures for non -Trauma Category 2 19 years and over,110 - Trauma & Orthopaedics,"2,824.29"
H85029,Wide Way Medical Centre,HC12Z - Intradural Spine Minor 1,300 - General Medicine,"2,162.62"
H85030,Drs Elliott Grice and Partners,HC12Z - Intradural Spine Minor 1,420 - Paediatrics,"2,162.62"
H85031,Benhill and Belmont,HC24A - Thoracic or Lumbar Spinal Disorders with Major CC,100 - General Surgery,"3,603.98"
H85032,Carshalton Fields,HC24B - Thoracic or Lumbar Spinal Disorders with CC,410 - Rheumatology,"2,206.73"
H85033,Tamworth House Medical Centre,HD26B - Musculoskeletal Signs and Symptoms with CC,300 - General Medicine,717.28
H85034,Pepys Road Surgery,JC05C - Minor Skin Procedures category 3 without CC,300 - General Medicine,"1,332.86"
H85035,Rowans Surgery,JC29Z - Phototherapy,420 - Paediatrics,94.18
H85016,Cannon Hill Lane Practice,KC02A - Fluid Disorders 70 years and over with Major CC,410 - Rheumatology,"4,159.53"
H85018,Mulgrave Road,KC02E - Fluid Disorders 69 years and under with Intermediate CC,300 - General Medicine,542.44
H85019,GP Centre - Longley,LA04D - Kidney or Urinary Tract Infections with length of stay 2 days or more with Major CC,300 - General Medicine,"4,682.99"
H85020,Church Lane  ,LA04G - Kidney or Urinary Tract Infections with length of stay less 1 day or less,100 - General Surgery,612.78
H85021,Chesser Practice,LA04G - Kidney or Urinary Tract Infections with length of stay less 1 day or less,180 - Accident & Emergency,612.78
H85021,Chesser Practice,LA08F - Chronic Kidney Disease with length of stay 1 day or less not associated with Renal Dialysis,361 - Nephrology,537.68
H85022,Park Road Medical Centre,LB36Z - Extracorporeal Lithotripsy,101 - Urology,"1,726.28"
H85022,Park Road Medical Centre,MA15A - Vacuum Aspiration with Rigid Cannula for 9 weeks gestation or more,501 - Obstetrics,"1,095.62"
H85023,Bishopsford Road Practice,MA15B - Vacuum Aspiration with Rigid Cannula for less than 9 weeks gestation,501 - Obstetrics,"1,030.05"
H85024,Mitcham Medical Centre,MA18Z - Medical Termination of Pregnancy,501 - Obstetrics,"2,001.68"
H85025,Wrythe Green Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85026,Francis Grove Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85027,Wimbledon Village Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,554.37
H85028,Princes Road Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,554.37
H85029,Wide Way Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,554.37
H85030,Drs Elliott Grice and Partners,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,554.37
H85031,Benhill and Belmont,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85032,Carshalton Fields,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85033,Tamworth House Medical Centre,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85034,Pepys Road Surgery,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,878.64
H85035,Rowans Surgery,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,878.64
H85016,Cannon Hill Lane Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,878.64
H85018,Mulgrave Road,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,878.64
H85019,GP Centre - Longley,PA01A - Nervous System Disorders with CC,420 - Paediatrics,"5,246.33"
H85020,Church Lane  ,PA02A - Epilepsy Syndrome with CC,420 - Paediatrics,"1,227.95"
H85021,Chesser Practice,PA02A - Epilepsy Syndrome with CC,420 - Paediatrics,"1,227.95"
H85021,Chesser Practice,PA14D - Lower Respiratory Tract Disorders without Acute Bronchiolitis with length of stay 1 day or more without CC,170 - Cardiothoracic Surgery,"1,276.71"
H85022,Park Road Medical Centre,PA14E - Lower Respiratory Tract Disorders without Acute Bronchiolitis with length of stay 0 days,420 - Paediatrics,726.04
H85022,Park Road Medical Centre,PA15A - Acute Bronchiolitis with CC,420 - Paediatrics,"2,390.33"
